id,title,tags,contenttype,usedin,featured,url,educationalrole,author,publisher,inlanguage,license,licenseurl
78,level 4,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/level-4.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
79,level 5,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/level-5.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
80,level 6,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/level-6.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
81,lipstick,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/lipstick.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
82,magnet,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/magnet.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
83,mitten,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/mitten.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
84,mobile,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/mobile.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
85,monster at a stone table 3,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/monster-at-a-stone-table-3.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
86,monster at a stone table,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/monster-at-a-stone-table.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
87,monster at a table,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/monster-at-a-table.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
88,monster in box,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/monster-in-box.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
89,monster in desert,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/monster-in-desert.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
90,monster in space,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/monster-in-space.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
91,monster on desert island,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/monster-on-desert-island.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
92,monster on space island,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/monster-on-space-island.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
93,monster on the beach,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/monster-on-the-beach.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
94,monster with a spoon 3,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/monster-with-a-spoon-3.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
95,monster with a stone table 2,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/monster-with-a-stone-table-2.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
96,monster with spoon 2,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/monster-with-spoon-2.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
97,monster with spoon 4,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/monster-with-spoon-4.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
98,monster with spoon,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/monster-with-spoon.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
99,moon,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/moon.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
100,muffin,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/muffin.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
101,multiplication,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/multiplication.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
102,number collection,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/number-collection.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
103,objects in box,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/objects-in-box.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
104,octopus,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/octopus.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
105,orange fruit,fruit,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/orange-fruit.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
106,orange juice,fruit,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/orange-juice.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
107,orange,fruit,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/orange.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
108,paint,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/paint.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
109,paints,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/paints.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
110,party flag,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/party-flag.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
111,pause,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/pause.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
112,pear,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/pear.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
113,peeking monster,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/peeking-monster.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
114,pencil blue,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/pencil-blue.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
115,pencil green,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/pencil-green.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
116,pencil pink,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/pencil-pink.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
